,Unnamed: 0,index,Unnamed: 0.1,lien,Modèle,Kilométrage,Année,data de MàJ,Carrosserie,Energie,Puissance,Boite,Couleur,Description,Prix,marque,vehicule,model
10,10,10,10,https://www.automobile.tn/fr/occasion/nissan/qashqai/47955,Nissan Qashqai Tekna+ ,60000.0,2017,2019-12-12,Autres,Essence,6,Automatique,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",66400.0,Nissan,Serena,Qashqai
11,11,11,11,https://www.automobile.tn/fr/occasion/nissan/qashqai/47128,Nissan Qashqai Tekna+ ,60000.0,2018,2019-10-29,Autres,Essence,6,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",66400.0,Nissan,Serena,Qashqai
12,12,12,12,https://www.automobile.tn/fr/occasion/nissan/qashqai/47961,Nissan Qashqai Tekna+ ,60000.0,2018,2019-12-12,Autres,Essence,6,Automatique,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",66400.0,Nissan,Serena,Qashqai
13,13,13,13,https://www.automobile.tn/fr/occasion/nissan/qashqai/47863,Nissan Qashqai Tekna ,91136.0,2017,2019-06-12,Autres,Essence,6,Manuelle,Noir,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Lave Phares   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sellerie en cuir   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",88000.0,Nissan,Serena,Qashqai
14,14,14,14,https://www.automobile.tn/fr/occasion/nissan/qashqai/46362,Nissan Qashqai Tekna BVA ,56242.0,2015,2019-09-25,Autres,Essence,6,Automatique,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Bouton Start & Stop   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",78000.0,Nissan,Serena,Qashqai
15,15,15,15,https://www.automobile.tn/fr/occasion/fiat/500l/49079,Fiat 500L ,83062.0,2015,2020-04-02,Compacte,Essence,6,Manuelle,Gris argent,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs rabattables   Toit panoramique    Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",47500.0,Fiat,500L,500L
16,16,16,16,https://www.automobile.tn/fr/occasion/volkswagen/golf-6/48447,Volkswagen Golf 6 Match BVA ,90817.0,2011,2020-08-01,Compacte,Essence,6,Automatique,Noir,"  Antibrouillards   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs rabattables   Vitres teintées    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Palettes au volant   Sièges réglables en hauteur   Sièges électriques   Sièges chauffants   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",36000.0,Volkswagen,Golf 6,Golf 6
17,17,17,17,https://www.automobile.tn/fr/occasion/kia/cerato/48343,KIA Cerato BVA ,178857.0,2013,2020-03-01,Berline,Essence,8,Automatique,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables    Accoudoir avant   Accoudoir arrière   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Boîte à gants réfrigérée   Bouton Start & Stop   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Palettes au volant   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",39000.0,Kia,Cerato,Cerato
18,18,18,18,https://www.automobile.tn/fr/occasion/volkswagen/new-beetle/48199,Volkswagen New Beetle ALL STAR ,103678.83985713057,2016,2019-12-25,Compacte,Essence,6,Manuelle,Noir,"  Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Vitres teintées    Accoudoir avant   Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Caméra de recul   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   GPS   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",79000.0,Volkswagen,New Beetle,New Beetle
19,19,19,19,https://www.automobile.tn/fr/occasion/peugeot/2008/47972,Peugeot 2008 Pure Tech ,75419.0,2016,2019-12-13,Compacte,Essence,5,Manuelle,Blanc,"  Antibrouillards   Détecteur de luminosité   Détecteur de pluie   Fermeture centralisée   Feux à LED   Jantes en alliage   Peinture métallisée   Phares au xénon   Radar de recul   Rétroviseurs électriques   Rétroviseurs rabattables   Toit panoramique   Vitres teintées    Autoradio   Autoradio CD   Autoradio CD/Mp3   Bluetooth   Chargeur CD   Climatisation   Climatronic   Connectivité Aux, usb, iPod   Direction assistée   Ordinateur de bord   Régulateur de vitesse   Sièges réglables en hauteur   Vitres électriques   Vitres teintées   Volant/levier de vitesse en cuir   Volant multi-fonctions   3 appuis têtes arrières   Volant réglable hauteur/profondeur  ",52000.0,Peugeot,2008,2008
