,lien, Marque , Modèle , Mise en circulation , Energie , Boite vitesse , kilométrage, Puissance fiscal, Etat du véhicule ,date annonce,Prix
30,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-renault-megane-3-18096,Renault,Megane 3,05-2011,Essence,Manuelle,181000 Km,7 CV,Excellent,1 Juin 2020,27500
31,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-volkswagen-golf-6-tdi-highline-18095,Volkswagen,Golf 6,07-2010,Diesel,Manuelle,90000 Km,5 CV,Excellent,1 Juin 2020,44000
32,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-volkswagen-amarok-18094,Volkswagen,Amarok,09-2011,Diesel,Manuelle,250000 Km,8 CV,Excellent,1 Juin 2020,59500
33,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-hyundai-grand-i10-sedan-1-ere-main-18093,Hyundai,Grand i10,08-2017,Essence,Manuelle,101000 Km,5 CV,Excellent,1 Juin 2020,29500
34,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-mahindra-scorpio-18092,Mahindra,GOA Pick clip,06-2015,Diesel,Manuelle,177000 Km,8 CV,Excellent,1 Juin 2020,26000
35,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2008-opel-astra-h-18091,Opel,Astra,09-2008,Essence,Manuelle,192000 Km,5 CV,Excellent,1 Juin 2020,22000
36,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-citroen-jumper-cabine-frigo-18090,Citroen,Jumper,10-2006,Diesel,Manuelle,399000 Km,7 CV,Excellent,1 Juin 2020,25000
37,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-bmw-116i-f20-bva-pack-sport-toit-ouvrant-18089,BMW,SERIE 1 ,03-2013,Essence,Automatique,125000 Km,7 CV,Excellent,1 Juin 2020,73000
38,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-volkswagen-transporter-9places-17763,Volkswagen,Transporter,05-2016,Diesel,Manuelle,106000 Km,7 CV,Excellent,30 Mai 2020,69000
39,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-17934,Volkswagen,Golf 7,04-2013,Essence,Manuelle,168000 Km,5 CV,Excellent,30 Mai 2020,41500
40,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2008-smart-fortwo-cabriolet-bva-17735,Smart,Fortwo,02-2008,Essence,Automatique,164000 Km,4 CV,Excellent,30 Mai 2020,22500
41,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-peugeot-208-2portes-18077,Peugeot,208,09-2016,Essence,Manuelle,127000 Km,5 CV,Excellent,29 Mai 2020,38500
42,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/1995-mercedes-c200-1ere-main-etat-dorigine-18087,Mercedes,Classe C,07-1995,Essence,Manuelle,137000 Km,10 CV,Excellent,29 Mai 2020,25900
43,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-nissan-navara-le-18088,Nissan,Navara,01-2011,Diesel,Manuelle,233000 Km,10 CV,Excellent,29 Mai 2020,38000
44,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-renault-megane-4-18086,Renault,Megane,06-2017,Essence,Manuelle,64000 Km,7 CV,Excellent,29 Mai 2020,58000
45,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-volkswagen-golf-7-bvm6-1ere-main-18085,Volkswagen,Golf 7,06-2016,Essence,Manuelle,116000 Km,5 CV,Excellent,29 Mai 2020,56900
46,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2004-kia-carens-bva-18084,Kia,Carens,03-2004,Diesel,Automatique,263000 Km,8 CV,Excellent,29 Mai 2020,23000
47,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-renault-megane-bva-18082,Renault,Megane,04-2013,Essence,Automatique,149000 Km,7 CV,Excellent,29 Mai 2020,29500
48,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-mazda-cx-9-18080,Mazda,CX-9,12-2009,Essence,Automatique,98000 Km,20 CV,Bon,27 Mai 2020,50000
49,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-bmw-523i-f10-bva-toit-ouvrant-18079,BMW,SERIE 5 ,08-2010,Essence,Automatique,249000 Km,12 CV,Excellent,27 Mai 2020,95000
50,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-ssangyong-xlv-18076,Ssangyong ,Actyon,10-2017,Essence,Manuelle,57000 Km,7 CV,Excellent,27 Mai 2020,69000
51,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/hyundai-i20-18075,Hyundai,I20,10-2014,Essence,Manuelle,100000 Km,5 CV,Excellent,27 Mai 2020,29000
52,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-volkswagen-golf-6-tdi-17797,Volkswagen,Golf 6,10-2010,Diesel,Manuelle,191000 Km,5 CV,Excellent,26 Mai 2020,35000
53,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2019-suzuki-dzire-1ere-main-17802,Suzuki,Baleno,04-2019,Essence,Manuelle,2000 Km,5 CV,Excellent,26 Mai 2020,38900
54,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-citroen-jumper-7places-1ere-main-17799,Citroen,Jumper,02-2016,Diesel,Manuelle,101000 Km,9 CV,Excellent,26 Mai 2020,52500
55,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a1-automatique-et-toit-panoramique-18074,Audi,A1,04-2016,Essence,Automatique,83000 Km,6 CV,Très bon,25 Mai 2020,55000
